ID;col;conc;tp;variable;n;mean
Pve_B_6;B;0,0;1;ranks;3;0,500
Pve_B_7;B;0,1;1;ranks;3;1,000
Pve_B_8;B;1,0;1;ranks;3;0,333
Pve_B_9;B;10,0;1;ranks;3;0,833
Pve_C_1;C;0,0;1;ranks;3;0,833
Pve_C_10;C;100,0;1;ranks;3;0,833
Pve_C_11;C;0,0;1;ranks;3;0,333
Pve_C_12;C;0,1;1;ranks;3;1,000
Pve_C_13;C;1,0;1;ranks;3;0,833
Pve_C_14;C;10,0;1;ranks;3;1,000
Pve_C_15;C;100,0;1;ranks;3;0,500
Pve_C_2;C;0,1;1;ranks;3;0,833
Pve_C_3;C;1,0;1;ranks;3;0,833
Pve_C_4;C;10,0;1;ranks;3;0,500
Pve_C_5;C;100,0;1;ranks;3;0,667
Pve_C_6;C;0,0;1;ranks;3;1,000
Pve_C_7;C;0,1;1;ranks;3;1,000
Pve_C_8;C;1,0;1;ranks;3;1,000
Pve_C_9;C;10,0;1;ranks;3;0,833
Pve_D_1;D;0,0;1;ranks;3;1,000
Pve_D_10;D;100,0;1;ranks;3;1,000
Pve_D_11;D;0,0;1;ranks;3;1,000
Pve_D_12;D;0,1;1;ranks;3;1,000
Pve_D_13;D;1,0;1;ranks;3;0,667
Pve_D_14;D;10,0;1;ranks;3;1,000
Pve_D_15;D;100,0;1;ranks;3;0,667
Pve_D_2;D;0,1;1;ranks;3;1,000
Pve_D_3;D;1,0;1;ranks;3;1,000
Pve_D_4;D;10,0;1;ranks;3;0,833
Pve_D_5;D;100,0;1;ranks;3;0,500
Pve_D_6;D;0,0;1;ranks;3;1,000
Pve_D_7;D;0,1;1;ranks;3;1,000
Pve_D_8;D;1,0;1;ranks;3;1,000
Pve_D_9;D;10,0;1;ranks;3;1,000
Pve_E_1;E;0,0;1;ranks;3;1,000
Pve_E_10;E;100,0;1;ranks;3;0,667
Pve_E_11;E;0,0;1;ranks;3;1,000
Pve_E_12;E;0,1;1;ranks;3;1,000
Pve_E_13;E;1,0;1;ranks;3;0,833
Pve_E_14;E;10,0;1;ranks;3;0,333
Pve_E_15;E;100,0;1;ranks;3;0,500
Pve_E_2;E;0,1;1;ranks;3;0,833
Pve_E_3;E;1,0;1;ranks;3;0,833
Pve_E_4;E;10,0;1;ranks;3;0,333
Pve_E_5;E;100,0;1;ranks;3;0,500
Pve_E_6;E;0,0;1;ranks;3;1,000
Pve_E_7;E;0,1;1;ranks;3;1,000
Pve_E_8;E;1,0;1;ranks;3;1,000
Pve_E_9;E;10,0;1;ranks;3;1,000
Pve_F_1;F;0,0;1;ranks;3;0,833
Pve_F_10;F;100,0;1;ranks;3;0,833
Pve_F_11;F;0,0;1;ranks;3;1,000
Pve_F_12;F;0,1;1;ranks;3;0,833
Pve_F_13;F;1,0;1;ranks;3;0,500
Pve_F_14;F;10,0;1;ranks;3;0,000
Pve_F_15;F;100,0;1;ranks;3;0,167
Pve_F_2;F;0,1;1;ranks;3;0,833
Pve_F_3;F;1,0;1;ranks;3;1,000
Pve_F_4;F;10,0;1;ranks;3;0,500
Pve_F_5;F;100,0;1;ranks;3;0,167
Pve_F_6;F;0,0;1;ranks;3;1,000
Pve_F_7;F;0,1;1;ranks;3;0,833
Pve_F_8;F;1,0;1;ranks;3;0,833
Pve_F_9;F;10,0;1;ranks;3;0,833
Pve_A_1;A;0,0;2;ranks;3;1,000
Pve_A_10;A;100,0;2;ranks;3;0,500
Pve_A_11;A;0,0;2;ranks;3;1,000
Pve_A_12;A;0,1;2;ranks;3;1,000
Pve_A_13;A;1,0;2;ranks;3;1,000
Pve_A_14;A;10,0;2;ranks;3;1,000
Pve_A_15;A;100,0;2;ranks;3;0,333
Pve_A_2;A;0,1;2;ranks;3;0,833
Pve_A_3;A;1,0;2;ranks;3;1,000
Pve_A_4;A;10,0;2;ranks;3;1,000
Pve_A_5;A;100,0;2;ranks;3;0,500
Pve_A_6;A;0,0;2;ranks;3;1,000
Pve_A_7;A;0,1;2;ranks;3;1,000
Pve_A_8;A;1,0;2;ranks;3;0,667
Pve_A_9;A;10,0;2;ranks;3;0,833
Pve_B_1;B;0,0;2;ranks;3;0,833
Pve_B_10;B;100,0;2;ranks;3;0,500
Pve_B_11;B;0,0;2;ranks;3;0,667
Pve_B_12;B;0,1;2;ranks;3;0,667
Pve_B_13;B;1,0;2;ranks;3;0,667
Pve_B_14;B;10,0;2;ranks;3;1,000
Pve_B_15;B;100,0;2;ranks;3;0,167
Pve_B_2;B;0,1;2;ranks;3;0,833
Pve_B_3;B;1,0;2;ranks;3;0,667
Pve_B_4;B;10,0;2;ranks;3;0,500
Pve_B_5;B;100,0;2;ranks;3;0,500
Pve_B_6;B;0,0;2;ranks;3;0,833
Pve_B_7;B;0,1;2;ranks;3;1,000
Pve_B_8;B;1,0;2;ranks;3;0,500
Pve_B_9;B;10,0;2;ranks;3;0,833
Pve_C_1;C;0,0;2;ranks;3;1,000
Pve_C_10;C;100,0;2;ranks;3;0,667
Pve_C_11;C;0,0;2;ranks;3;1,000
Pve_C_12;C;0,1;2;ranks;3;0,833
Pve_C_13;C;1,0;2;ranks;3;1,000
Pve_C_14;C;10,0;2;ranks;3;1,000
Pve_C_15;C;100,0;2;ranks;3;0,667
Pve_C_2;C;0,1;2;ranks;3;1,000
Pve_C_3;C;1,0;2;ranks;3;0,833
Pve_C_4;C;10,0;2;ranks;3;1,000
Pve_C_5;C;100,0;2;ranks;3;0,667
Pve_C_6;C;0,0;2;ranks;3;1,000
Pve_C_7;C;0,1;2;ranks;3;1,000
Pve_C_8;C;1,0;2;ranks;3;0,833
Pve_C_9;C;10,0;2;ranks;3;0,833
Pve_D_1;D;0,0;2;ranks;3;1,000
Pve_D_10;D;100,0;2;ranks;3;0,833
Pve_D_11;D;0,0;2;ranks;3;1,000
Pve_D_12;D;0,1;2;ranks;3;1,000
Pve_D_13;D;1,0;2;ranks;3;1,000
Pve_D_14;D;10,0;2;ranks;3;1,000
Pve_D_15;D;100,0;2;ranks;3;0,833
Pve_D_2;D;0,1;2;ranks;3;1,000
Pve_D_3;D;1,0;2;ranks;3;0,833
Pve_D_4;D;10,0;2;ranks;3;1,000
Pve_D_5;D;100,0;2;ranks;3;0,500
Pve_D_6;D;0,0;2;ranks;3;1,000
Pve_D_7;D;0,1;2;ranks;3;1,000
Pve_D_8;D;1,0;2;ranks;3;1,000
Pve_D_9;D;10,0;2;ranks;3;1,000
Pve_E_1;E;0,0;2;ranks;3;0,833
Pve_E_10;E;100,0;2;ranks;3;0,500
Pve_E_11;E;0,0;2;ranks;3;0,833
Pve_E_12;E;0,1;2;ranks;3;0,667
Pve_E_13;E;1,0;2;ranks;3;0,833
Pve_E_14;E;10,0;2;ranks;3;1,000
Pve_E_15;E;100,0;2;ranks;3;0,333
Pve_E_2;E;0,1;2;ranks;3;1,000
Pve_E_3;E;1,0;2;ranks;3;0,833
Pve_E_4;E;10,0;2;ranks;3;1,000
Pve_E_5;E;100,0;2;ranks;3;0,333
Pve_E_6;E;0,0;2;ranks;3;1,000
Pve_E_7;E;0,1;2;ranks;3;1,000
Pve_E_8;E;1,0;2;ranks;3;0,500
Pve_E_9;E;10,0;2;ranks;3;0,667
Pve_F_1;F;0,0;2;ranks;3;1,000
Pve_F_10;F;100,0;2;ranks;3;0,333
Pve_F_11;F;0,0;2;ranks;3;0,833
Pve_F_12;F;0,1;2;ranks;3;0,833
Pve_F_13;F;1,0;2;ranks;3;0,833
Pve_F_14;F;10,0;2;ranks;3;0,833
Pve_F_15;F;100,0;2;ranks;3;0,167
Pve_F_2;F;0,1;2;ranks;3;1,000
Pve_F_3;F;1,0;2;ranks;3;1,000
Pve_F_4;F;10,0;2;ranks;3;0,667
Pve_F_5;F;100,0;2;ranks;3;0,000
Pve_F_6;F;0,0;2;ranks;3;1,000
Pve_F_7;F;0,1;2;ranks;3;1,000
Pve_F_8;F;1,0;2;ranks;3;0,667
Pve_F_9;F;10,0;2;ranks;3;1,000
Pve_A_1;A;0,0;3;ranks;3;0,833
Pve_A_10;A;100,0;3;ranks;3;0,833
Pve_A_11;A;0,0;3;ranks;3;1,000
Pve_A_12;A;0,1;3;ranks;3;1,000
Pve_A_13;A;1,0;3;ranks;3;0,833
Pve_A_14;A;10,0;3;ranks;3;0,667
Pve_A_15;A;100,0;3;ranks;3;0,667
Pve_A_2;A;0,1;3;ranks;3;0,833
Pve_A_3;A;1,0;3;ranks;3;0,500
Pve_A_4;A;10,0;3;ranks;3;0,667
Pve_A_5;A;100,0;3;ranks;3;0,500
Pve_A_6;A;0,0;3;ranks;3;1,000
Pve_A_7;A;0,1;3;ranks;3;1,000
Pve_A_8;A;1,0;3;ranks;3;1,000
Pve_A_9;A;10,0;3;ranks;3;0,833
Pve_B_1;B;0,0;3;ranks;3;0,333
Pve_B_10;B;100,0;3;ranks;3;0,667
Pve_B_11;B;0,0;3;ranks;3;0,667
Pve_B_12;B;0,1;3;ranks;3;0,500
Pve_B_13;B;1,0;3;ranks;3;0,833
Pve_B_14;B;10,0;3;ranks;3;0,667
Pve_B_15;B;100,0;3;ranks;3;1,000
Pve_B_2;B;0,1;3;ranks;3;0,667
Pve_B_3;B;1,0;3;ranks;3;0,167
Pve_B_4;B;10,0;3;ranks;3;0,500
Pve_B_5;B;100,0;3;ranks;3;0,333
Pve_B_6;B;0,0;3;ranks;3;0,833
Pve_B_7;B;0,1;3;ranks;3;1,000
Pve_B_8;B;1,0;3;ranks;3;1,000
Pve_B_9;B;10,0;3;ranks;3;0,667
Pve_C_1;C;0,0;3;ranks;3;0,833
Pve_C_10;C;100,0;3;ranks;3;0,833
Pve_C_11;C;0,0;3;ranks;3;0,833
Pve_C_12;C;0,1;3;ranks;3;1,000
Pve_C_13;C;1,0;3;ranks;3;0,833
Pve_C_14;C;10,0;3;ranks;3;0,833
Pve_C_15;C;100,0;3;ranks;3;1,000
Pve_C_2;C;0,1;3;ranks;3;1,000
Pve_C_3;C;1,0;3;ranks;3;0,833
Pve_C_4;C;10,0;3;ranks;3;0,500
Pve_C_5;C;100,0;3;ranks;3;0,667
Pve_C_6;C;0,0;3;ranks;3;1,000
Pve_C_7;C;0,1;3;ranks;3;1,000
Pve_C_8;C;1,0;3;ranks;3;1,000
Pve_C_9;C;10,0;3;ranks;3;1,000
Pve_D_1;D;0,0;3;ranks;3;0,833
Pve_D_10;D;100,0;3;ranks;3;1,000
Pve_D_11;D;0,0;3;ranks;3;0,833
Pve_D_12;D;0,1;3;ranks;3;1,000
Pve_D_13;D;1,0;3;ranks;3;0,833
Pve_D_14;D;10,0;3;ranks;3;0,833
Pve_D_15;D;100,0;3;ranks;3;0,833
Pve_D_2;D;0,1;3;ranks;3;0,833
Pve_D_3;D;1,0;3;ranks;3;1,000
Pve_D_4;D;10,0;3;ranks;3;1,000
Pve_D_5;D;100,0;3;ranks;3;0,833
Pve_D_6;D;0,0;3;ranks;3;1,000
Pve_D_7;D;0,1;3;ranks;3;1,000
Pve_D_8;D;1,0;3;ranks;3;1,000
Pve_D_9;D;10,0;3;ranks;3;1,000
Pve_E_1;E;0,0;3;ranks;3;0,000
Pve_E_10;E;100,0;3;ranks;3;1,000
Pve_E_11;E;0,0;3;ranks;3;0,500
Pve_E_12;E;0,1;3;ranks;3;1,000
Pve_E_13;E;1,0;3;ranks;3;0,833
Pve_E_14;E;10,0;3;ranks;3;0,833
Pve_E_15;E;100,0;3;ranks;3;0,833
Pve_E_2;E;0,1;3;ranks;3;0,667
Pve_E_3;E;1,0;3;ranks;3;0,500
Pve_E_4;E;10,0;3;ranks;3;0,667
Pve_E_5;E;100,0;3;ranks;3;0,667
Pve_E_6;E;0,0;3;ranks;3;1,000
Pve_E_7;E;0,1;3;ranks;3;1,000
Pve_E_8;E;1,0;3;ranks;3;1,000
Pve_E_9;E;10,0;3;ranks;3;1,000
Pve_F_1;F;0,0;3;ranks;3;1,000
Pve_F_10;F;100,0;3;ranks;3;0,500
Pve_F_11;F;0,0;3;ranks;3;0,667
Pve_F_12;F;0,1;3;ranks;3;1,000
Pve_F_13;F;1,0;3;ranks;3;0,667
Pve_F_14;F;10,0;3;ranks;3;0,333
Pve_F_15;F;100,0;3;ranks;3;0,667
Pve_F_2;F;0,1;3;ranks;3;0,833
Pve_F_3;F;1,0;3;ranks;3;0,667
Pve_F_4;F;10,0;3;ranks;3;0,833
Pve_F_5;F;100,0;3;ranks;3;0,333
Pve_F_6;F;0,0;3;ranks;3;1,000
Pve_F_7;F;0,1;3;ranks;3;1,000
Pve_F_8;F;1,0;3;ranks;3;1,000
Pve_F_9;F;10,0;3;ranks;3;0,833
