conc;tank;volume;measurement;date;days;polymer;count
0;1;50;1;30.04.2021;1;PA;0
0;1;50;2;30.04.2021;1;PA;0
0;1;50;3;30.04.2021;1;PA;0
0;1;50;1;30.04.2021;1;PP;0
0;1;50;2;30.04.2021;1;PP;0
0;1;50;3;30.04.2021;1;PP;0
0;1;50;1;30.04.2021;1;PET;0
0;1;50;2;30.04.2021;1;PET;0
0;1;50;3;30.04.2021;1;PET;0
0;1;50;1;30.04.2021;1;PE;0
0;1;50;2;30.04.2021;1;PE;0
0;1;50;3;30.04.2021;1;PE;0
0;1;50;1;30.04.2021;1;PVC;0
0;1;50;2;30.04.2021;1;PVC;0
0;1;50;3;30.04.2021;1;PVC;0
0;1;50;1;30.04.2021;1;PS;0
0;1;50;2;30.04.2021;1;PS;0
0;1;50;3;30.04.2021;1;PS;0
0;6;50;1;30.04.2021;1;PA;0
0;6;50;2;30.04.2021;1;PA;0
0;6;50;3;30.04.2021;1;PA;0
0;6;50;1;30.04.2021;1;PP;0
0;6;50;2;30.04.2021;1;PP;0
0;6;50;3;30.04.2021;1;PP;0
0;6;50;1;30.04.2021;1;PET;0
0;6;50;2;30.04.2021;1;PET;0
0;6;50;3;30.04.2021;1;PET;0
0;6;50;1;30.04.2021;1;PE;0
0;6;50;2;30.04.2021;1;PE;0
0;6;50;3;30.04.2021;1;PE;0
0;6;50;1;30.04.2021;1;PVC;0
0;6;50;2;30.04.2021;1;PVC;0
0;6;50;3;30.04.2021;1;PVC;0
0;6;50;1;30.04.2021;1;PS;0
0;6;50;2;30.04.2021;1;PS;0
0;6;50;3;30.04.2021;1;PS;0
0;11;50;1;30.04.2021;1;PA;0
0;11;50;2;30.04.2021;1;PA;0
0;11;50;3;30.04.2021;1;PA;0
0;11;50;1;30.04.2021;1;PP;0
0;11;50;2;30.04.2021;1;PP;0
0;11;50;3;30.04.2021;1;PP;0
0;11;50;1;30.04.2021;1;PET;0
0;11;50;2;30.04.2021;1;PET;0
0;11;50;3;30.04.2021;1;PET;0
0;11;50;1;30.04.2021;1;PE;0
0;11;50;2;30.04.2021;1;PE;0
0;11;50;3;30.04.2021;1;PE;0
0;11;50;1;30.04.2021;1;PVC;0
0;11;50;2;30.04.2021;1;PVC;0
0;11;50;3;30.04.2021;1;PVC;0
0;11;50;1;30.04.2021;1;PS;0
0;11;50;2;30.04.2021;1;PS;0
0;11;50;3;30.04.2021;1;PS;0
0.1;2;50;1;30.04.2021;1;PA;0
0.1;2;50;2;30.04.2021;1;PA;0
0.1;2;50;3;30.04.2021;1;PA;0
0.1;2;50;1;30.04.2021;1;PP;1
0.1;2;50;2;30.04.2021;1;PP;1
0.1;2;50;3;30.04.2021;1;PP;3
0.1;2;50;1;30.04.2021;1;PET;4
0.1;2;50;2;30.04.2021;1;PET;1
0.1;2;50;3;30.04.2021;1;PET;2
0.1;2;50;1;30.04.2021;1;PE;1
0.1;2;50;2;30.04.2021;1;PE;0
0.1;2;50;3;30.04.2021;1;PE;0
0.1;2;50;1;30.04.2021;1;PVC;0
0.1;2;50;2;30.04.2021;1;PVC;0
0.1;2;50;3;30.04.2021;1;PVC;0
0.1;2;50;1;30.04.2021;1;PS;1
0.1;2;50;2;30.04.2021;1;PS;0
0.1;2;50;3;30.04.2021;1;PS;0
0.1;7;50;1;30.04.2021;1;PA;0
0.1;7;50;2;30.04.2021;1;PA;0
0.1;7;50;3;30.04.2021;1;PA;0
0.1;7;50;1;30.04.2021;1;PP;0
0.1;7;50;2;30.04.2021;1;PP;0
0.1;7;50;3;30.04.2021;1;PP;0
0.1;7;50;1;30.04.2021;1;PET;2
0.1;7;50;2;30.04.2021;1;PET;0
0.1;7;50;3;30.04.2021;1;PET;0
0.1;7;50;1;30.04.2021;1;PE;0
0.1;7;50;2;30.04.2021;1;PE;0
0.1;7;50;3;30.04.2021;1;PE;0
0.1;7;50;1;30.04.2021;1;PVC;0
0.1;7;50;2;30.04.2021;1;PVC;0
0.1;7;50;3;30.04.2021;1;PVC;0
0.1;7;50;1;30.04.2021;1;PS;0
0.1;7;50;2;30.04.2021;1;PS;0
0.1;7;50;3;30.04.2021;1;PS;0
0.1;12;50;1;30.04.2021;1;PA;0
0.1;12;50;2;30.04.2021;1;PA;0
0.1;12;50;3;30.04.2021;1;PA;0
0.1;12;50;1;30.04.2021;1;PP;0
0.1;12;50;2;30.04.2021;1;PP;1
0.1;12;50;3;30.04.2021;1;PP;0
0.1;12;50;1;30.04.2021;1;PET;1
0.1;12;50;2;30.04.2021;1;PET;3
0.1;12;50;3;30.04.2021;1;PET;2
0.1;12;50;1;30.04.2021;1;PE;0
0.1;12;50;2;30.04.2021;1;PE;1
0.1;12;50;3;30.04.2021;1;PE;0
0.1;12;50;1;30.04.2021;1;PVC;0
0.1;12;50;2;30.04.2021;1;PVC;0
0.1;12;50;3;30.04.2021;1;PVC;0
0.1;12;50;1;30.04.2021;1;PS;0
0.1;12;50;2;30.04.2021;1;PS;0
0.1;12;50;3;30.04.2021;1;PS;0
1;3;50;1;30.04.2021;1;PA;0
1;3;50;2;30.04.2021;1;PA;0
1;3;50;3;30.04.2021;1;PA;0
1;3;50;1;30.04.2021;1;PP;3
1;3;50;2;30.04.2021;1;PP;1
1;3;50;3;30.04.2021;1;PP;0
1;3;50;1;30.04.2021;1;PET;3
1;3;50;2;30.04.2021;1;PET;3
1;3;50;3;30.04.2021;1;PET;3
1;3;50;1;30.04.2021;1;PE;0
1;3;50;2;30.04.2021;1;PE;0
1;3;50;3;30.04.2021;1;PE;0
1;3;50;1;30.04.2021;1;PVC;0
1;3;50;2;30.04.2021;1;PVC;0
1;3;50;3;30.04.2021;1;PVC;0
1;3;50;1;30.04.2021;1;PS;0
1;3;50;2;30.04.2021;1;PS;0
1;3;50;3;30.04.2021;1;PS;0
1;8;50;1;30.04.2021;1;PA;0
1;8;50;2;30.04.2021;1;PA;0
1;8;50;3;30.04.2021;1;PA;0
1;8;50;1;30.04.2021;1;PP;1
1;8;50;2;30.04.2021;1;PP;3
1;8;50;3;30.04.2021;1;PP;0
1;8;50;1;30.04.2021;1;PET;4
1;8;50;2;30.04.2021;1;PET;2
1;8;50;3;30.04.2021;1;PET;1
1;8;50;1;30.04.2021;1;PE;1
1;8;50;2;30.04.2021;1;PE;0
1;8;50;3;30.04.2021;1;PE;0
1;8;50;1;30.04.2021;1;PVC;0
1;8;50;2;30.04.2021;1;PVC;0
1;8;50;3;30.04.2021;1;PVC;0
1;8;50;1;30.04.2021;1;PS;1
1;8;50;2;30.04.2021;1;PS;0
1;8;50;3;30.04.2021;1;PS;0
1;13;50;1;30.04.2021;1;PA;0
1;13;50;2;30.04.2021;1;PA;0
1;13;50;3;30.04.2021;1;PA;0
1;13;50;1;30.04.2021;1;PP;1
1;13;50;2;30.04.2021;1;PP;1
1;13;50;3;30.04.2021;1;PP;0
1;13;50;1;30.04.2021;1;PET;0
1;13;50;2;30.04.2021;1;PET;0
1;13;50;3;30.04.2021;1;PET;1
1;13;50;1;30.04.2021;1;PE;0
1;13;50;2;30.04.2021;1;PE;0
1;13;50;3;30.04.2021;1;PE;0
1;13;50;1;30.04.2021;1;PVC;0
1;13;50;2;30.04.2021;1;PVC;0
1;13;50;3;30.04.2021;1;PVC;1
1;13;50;1;30.04.2021;1;PS;0
1;13;50;2;30.04.2021;1;PS;0
1;13;50;3;30.04.2021;1;PS;0
10;4;50;1;30.04.2021;1;PA;2
10;4;50;2;30.04.2021;1;PA;1
10;4;50;3;30.04.2021;1;PA;1
10;4;50;1;30.04.2021;1;PP;0
10;4;50;2;30.04.2021;1;PP;4
10;4;50;3;30.04.2021;1;PP;3
10;4;50;1;30.04.2021;1;PET;6
10;4;50;2;30.04.2021;1;PET;0
10;4;50;3;30.04.2021;1;PET;0
10;4;50;1;30.04.2021;1;PE;1
10;4;50;2;30.04.2021;1;PE;1
10;4;50;3;30.04.2021;1;PE;3
10;4;50;1;30.04.2021;1;PVC;1
10;4;50;2;30.04.2021;1;PVC;1
10;4;50;3;30.04.2021;1;PVC;0
10;4;50;1;30.04.2021;1;PS;0
10;4;50;2;30.04.2021;1;PS;0
10;4;50;3;30.04.2021;1;PS;0
10;9;50;1;30.04.2021;1;PA;1
10;9;50;2;30.04.2021;1;PA;2
10;9;50;3;30.04.2021;1;PA;1
10;9;50;1;30.04.2021;1;PP;0
10;9;50;2;30.04.2021;1;PP;1
10;9;50;3;30.04.2021;1;PP;3
10;9;50;1;30.04.2021;1;PET;2
10;9;50;2;30.04.2021;1;PET;1
10;9;50;3;30.04.2021;1;PET;0
10;9;50;1;30.04.2021;1;PE;5
10;9;50;2;30.04.2021;1;PE;0
10;9;50;3;30.04.2021;1;PE;0
10;9;50;1;30.04.2021;1;PVC;0
10;9;50;2;30.04.2021;1;PVC;0
10;9;50;3;30.04.2021;1;PVC;0
10;9;50;1;30.04.2021;1;PS;0
10;9;50;2;30.04.2021;1;PS;0
10;9;50;3;30.04.2021;1;PS;0
10;14;50;1;30.04.2021;1;PA;0
10;14;50;2;30.04.2021;1;PA;1
10;14;50;3;30.04.2021;1;PA;0
10;14;50;1;30.04.2021;1;PP;1
10;14;50;2;30.04.2021;1;PP;1
10;14;50;3;30.04.2021;1;PP;3
10;14;50;1;30.04.2021;1;PET;1
10;14;50;2;30.04.2021;1;PET;0
10;14;50;3;30.04.2021;1;PET;1
10;14;50;1;30.04.2021;1;PE;1
10;14;50;2;30.04.2021;1;PE;0
10;14;50;3;30.04.2021;1;PE;0
10;14;50;1;30.04.2021;1;PVC;0
10;14;50;2;30.04.2021;1;PVC;2
10;14;50;3;30.04.2021;1;PVC;0
10;14;50;1;30.04.2021;1;PS;0
10;14;50;2;30.04.2021;1;PS;0
10;14;50;3;30.04.2021;1;PS;0
100;5;50;1;30.04.2021;1;PA;0
100;5;50;2;30.04.2021;1;PA;0
100;5;50;3;30.04.2021;1;PA;0
100;5;50;1;30.04.2021;1;PP;3
100;5;50;2;30.04.2021;1;PP;7
100;5;50;3;30.04.2021;1;PP;10
100;5;50;1;30.04.2021;1;PET;3
100;5;50;2;30.04.2021;1;PET;7
100;5;50;3;30.04.2021;1;PET;83
100;5;50;1;30.04.2021;1;PE;0
100;5;50;2;30.04.2021;1;PE;1
100;5;50;3;30.04.2021;1;PE;1
100;5;50;1;30.04.2021;1;PVC;0
100;5;50;2;30.04.2021;1;PVC;0
100;5;50;3;30.04.2021;1;PVC;0
100;5;50;1;30.04.2021;1;PS;0
100;5;50;2;30.04.2021;1;PS;0
100;5;50;3;30.04.2021;1;PS;0
100;10;50;1;30.04.2021;1;PA;0
100;10;50;2;30.04.2021;1;PA;0
100;10;50;3;30.04.2021;1;PA;0
100;10;50;1;30.04.2021;1;PP;22
100;10;50;2;30.04.2021;1;PP;5
100;10;50;3;30.04.2021;1;PP;7
100;10;50;1;30.04.2021;1;PET;10
100;10;50;2;30.04.2021;1;PET;1
100;10;50;3;30.04.2021;1;PET;1
100;10;50;1;30.04.2021;1;PE;5
100;10;50;2;30.04.2021;1;PE;1
100;10;50;3;30.04.2021;1;PE;2
100;10;50;1;30.04.2021;1;PVC;0
100;10;50;2;30.04.2021;1;PVC;0
100;10;50;3;30.04.2021;1;PVC;0
100;10;50;1;30.04.2021;1;PS;1
100;10;50;2;30.04.2021;1;PS;0
100;10;50;3;30.04.2021;1;PS;0
100;15;50;1;30.04.2021;1;PA;0
100;15;50;2;30.04.2021;1;PA;0
100;15;50;3;30.04.2021;1;PA;0
100;15;50;1;30.04.2021;1;PP;4
100;15;50;2;30.04.2021;1;PP;0
100;15;50;3;30.04.2021;1;PP;2
100;15;50;1;30.04.2021;1;PET;1
100;15;50;2;30.04.2021;1;PET;0
100;15;50;3;30.04.2021;1;PET;1
100;15;50;1;30.04.2021;1;PE;3
100;15;50;2;30.04.2021;1;PE;0
100;15;50;3;30.04.2021;1;PE;0
100;15;50;1;30.04.2021;1;PVC;0
100;15;50;2;30.04.2021;1;PVC;0
100;15;50;3;30.04.2021;1;PVC;0
100;15;50;1;30.04.2021;1;PS;0
100;15;50;2;30.04.2021;1;PS;0
100;15;50;3;30.04.2021;1;PS;0
0;1;50;1;03.05.2021;4;PA;0
0;1;50;2;03.05.2021;4;PA;0
0;1;50;3;03.05.2021;4;PA;0
0;1;50;1;03.05.2021;4;PP;0
0;1;50;2;03.05.2021;4;PP;0
0;1;50;3;03.05.2021;4;PP;0
0;1;50;1;03.05.2021;4;PET;0
0;1;50;2;03.05.2021;4;PET;0
0;1;50;3;03.05.2021;4;PET;0
0;1;50;1;03.05.2021;4;PE;0
0;1;50;2;03.05.2021;4;PE;0
0;1;50;3;03.05.2021;4;PE;0
0;1;50;1;03.05.2021;4;PVC;0
0;1;50;2;03.05.2021;4;PVC;0
0;1;50;3;03.05.2021;4;PVC;0
0;1;50;1;03.05.2021;4;PS;0
0;1;50;2;03.05.2021;4;PS;0
0;1;50;3;03.05.2021;4;PS;0
0;6;50;1;03.05.2021;4;PA;0
0;6;50;2;03.05.2021;4;PA;0
0;6;50;3;03.05.2021;4;PA;0
0;6;50;1;03.05.2021;4;PP;0
0;6;50;2;03.05.2021;4;PP;0
0;6;50;3;03.05.2021;4;PP;0
0;6;50;1;03.05.2021;4;PET;1
0;6;50;2;03.05.2021;4;PET;0
0;6;50;3;03.05.2021;4;PET;0
0;6;50;1;03.05.2021;4;PE;0
0;6;50;2;03.05.2021;4;PE;0
0;6;50;3;03.05.2021;4;PE;0
0;6;50;1;03.05.2021;4;PVC;0
0;6;50;2;03.05.2021;4;PVC;0
0;6;50;3;03.05.2021;4;PVC;0
0;6;50;1;03.05.2021;4;PS;0
0;6;50;2;03.05.2021;4;PS;0
0;6;50;3;03.05.2021;4;PS;0
0;11;50;1;03.05.2021;4;PA;0
0;11;50;2;03.05.2021;4;PA;0
0;11;50;3;03.05.2021;4;PA;0
0;11;50;1;03.05.2021;4;PP;0
0;11;50;2;03.05.2021;4;PP;0
0;11;50;3;03.05.2021;4;PP;0
0;11;50;1;03.05.2021;4;PET;0
0;11;50;2;03.05.2021;4;PET;0
0;11;50;3;03.05.2021;4;PET;0
0;11;50;1;03.05.2021;4;PE;0
0;11;50;2;03.05.2021;4;PE;0
0;11;50;3;03.05.2021;4;PE;0
0;11;50;1;03.05.2021;4;PVC;0
0;11;50;2;03.05.2021;4;PVC;0
0;11;50;3;03.05.2021;4;PVC;0
0;11;50;1;03.05.2021;4;PS;0
0;11;50;2;03.05.2021;4;PS;0
0;11;50;3;03.05.2021;4;PS;0
0.1;2;50;1;03.05.2021;4;PA;0
0.1;2;50;2;03.05.2021;4;PA;0
0.1;2;50;3;03.05.2021;4;PA;0
0.1;2;50;1;03.05.2021;4;PP;0
0.1;2;50;2;03.05.2021;4;PP;0
0.1;2;50;3;03.05.2021;4;PP;2
0.1;2;50;1;03.05.2021;4;PET;0
0.1;2;50;2;03.05.2021;4;PET;0
0.1;2;50;3;03.05.2021;4;PET;1
0.1;2;50;1;03.05.2021;4;PE;0
0.1;2;50;2;03.05.2021;4;PE;0
0.1;2;50;3;03.05.2021;4;PE;0
0.1;2;50;1;03.05.2021;4;PVC;0
0.1;2;50;2;03.05.2021;4;PVC;0
0.1;2;50;3;03.05.2021;4;PVC;0
0.1;2;50;1;03.05.2021;4;PS;0
0.1;2;50;2;03.05.2021;4;PS;0
0.1;2;50;3;03.05.2021;4;PS;0
0.1;7;50;1;03.05.2021;4;PA;0
0.1;7;50;2;03.05.2021;4;PA;0
0.1;7;50;3;03.05.2021;4;PA;0
0.1;7;50;1;03.05.2021;4;PP;2
0.1;7;50;2;03.05.2021;4;PP;0
0.1;7;50;3;03.05.2021;4;PP;1
0.1;7;50;1;03.05.2021;4;PET;0
0.1;7;50;2;03.05.2021;4;PET;1
0.1;7;50;3;03.05.2021;4;PET;1
0.1;7;50;1;03.05.2021;4;PE;0
0.1;7;50;2;03.05.2021;4;PE;0
0.1;7;50;3;03.05.2021;4;PE;0
0.1;7;50;1;03.05.2021;4;PVC;0
0.1;7;50;2;03.05.2021;4;PVC;0
0.1;7;50;3;03.05.2021;4;PVC;0
0.1;7;50;1;03.05.2021;4;PS;0
0.1;7;50;2;03.05.2021;4;PS;0
0.1;7;50;3;03.05.2021;4;PS;0
0.1;12;50;1;03.05.2021;4;PA;0
0.1;12;50;2;03.05.2021;4;PA;0
0.1;12;50;3;03.05.2021;4;PA;0
0.1;12;50;1;03.05.2021;4;PP;0
0.1;12;50;2;03.05.2021;4;PP;0
0.1;12;50;3;03.05.2021;4;PP;0
0.1;12;50;1;03.05.2021;4;PET;0
0.1;12;50;2;03.05.2021;4;PET;1
0.1;12;50;3;03.05.2021;4;PET;1
0.1;12;50;1;03.05.2021;4;PE;0
0.1;12;50;2;03.05.2021;4;PE;0
0.1;12;50;3;03.05.2021;4;PE;0
0.1;12;50;1;03.05.2021;4;PVC;0
0.1;12;50;2;03.05.2021;4;PVC;0
0.1;12;50;3;03.05.2021;4;PVC;0
0.1;12;50;1;03.05.2021;4;PS;0
0.1;12;50;2;03.05.2021;4;PS;0
0.1;12;50;3;03.05.2021;4;PS;0
1;3;50;1;03.05.2021;4;PA;0
1;3;50;2;03.05.2021;4;PA;0
1;3;50;3;03.05.2021;4;PA;0
